Fx,Fy,Fz,L1,L2,L3
0,0,0.03,10,-0.9,-17
0,0,0,0.6,0.1,0
0,0,5.66,-91,335.6,728.1
0,0,10.24,46.1,421.3,1377.4
0,0,15.34,191.6,514,2077.1
0,0,19.74,323.1,600.4,2692.8
0,0,26.57,507.9,726.4,3600.5
0,0,30.03,605.7,807,4132.7
0,0,35.43,744.1,937.5,4906.4
0,0,35.15,755,988.8,5233.7
0,0,29.77,609.7,885,4549.7
0,0,25.41,512.1,795.9,4010.5
0,0,19.52,340,666.3,3175.8
0,0,15.78,247.4,569.5,2579.5
0,0,10.62,111,468.7,1894.6
0,0,5.87,20,332.8,1203
0,0,0,29.2,47.5,363.9
0,0,0,16,6.7,132.9
0,0,5.5,-135.6,410.5,848.1
0,0,10.11,16,464,1469.8
0,0,15.72,178.2,562.4,2217
0,0,18.09,260.8,610.2,2601.5
0,0,19.83,311.1,638.9,2839.5
0,0,24.92,457.8,725.4,3541.1
0,0,30.54,620.8,823.9,4293.6
0,0,36.27,780.3,944.4,5071.7
0,0,35.45,763.8,978.8,5217
0,0,29.37,584.2,857.9,4424.8
0,0,25.17,488.3,784.1,3936.2
0,0,20.65,354.3,686.1,3299.7
0,0,15.15,208.4,571,2549.4
0,0,10.01,81,476.9,1888.7
0,0,6,-5.7,370,1322.8
0,0,4.5,-33.6,320.5,1067.8
0,0,0,29.8,49.1,422.6
0,0,0,-5.7,-5.2,244.5
0,0,4.52,-173.8,380.1,834.6
0,0,9.07,-51.4,483.5,1497.2
0,0,14.77,95,584.1,2196.5
0,0,19.57,244.8,665.1,2881
0,0,24.32,391.3,754,3547.4
0,0,30,551.2,848.3,4292.8
0,0,34.62,687.8,943.4,4957.8
0,0,35.72,721.5,996,5262.7
0,0,29.59,567.7,879.8,4580.7
0,0,25,439.3,795.6,3976.6
0,0,21.23,338.7,719.7,3496
0,0,15.17,174.4,597.2,2654.7
0,0,10.66,55.4,490.9,2033.2
0,0,4.92,-55.8,332.4,1217.6
0,0,0,16.6,34.3,541.3
0,0,0,4.1,3.8,241.5
0,0,6.11,-158,429.1,1011.7
0,0,9.72,-28.5,500.2,1533.8
0,0,14.48,101.3,576.9,2143.4
0,0,19.64,258.6,671,2858.6
0,0,24.88,411.5,761.2,3574.7
0,0,29.94,570.6,862.8,4302.1
0,0,35.38,723.3,962.8,5030.2
0,0,31.03,621.8,917.4,4744.4
0,0,24.91,449.7,791.8,3943.5
0,0,20.21,325.8,700,3297.5
0,0,15.8,206,611.3,2695.5
0,0,9.83,61.9,486.5,1927
0,0,5.58,-24.6,372.9,1338.5
0,0,0,25.8,59.6,540.1
0,0,0.03,10,-0.9,-17
0,0,0,0.6,0.1,0
0,0,5.66,-91,335.6,728.1
0,0,10.24,46.1,421.3,1377.4
0,0,15.34,191.6,514,2077.1
0,0,19.74,323.1,600.4,2692.8
0,0,26.57,507.9,726.4,3600.5
0,0,30.03,605.7,807,4132.7
0,0,35.43,744.1,937.5,4906.4
0,0,35.15,755,988.8,5233.7
0,0,29.77,609.7,885,4549.7
0,0,25.41,512.1,795.9,4010.5
0,0,19.52,340,666.3,3175.8
0,0,15.78,247.4,569.5,2579.5
0,0,10.62,111,468.7,1894.6
0,0,5.87,20,332.8,1203
0,0,0,29.2,47.5,363.9
0,0,0,16,6.7,132.9
0,0,5.5,-135.6,410.5,848.1
0,0,10.11,16,464,1469.8
0,0,15.72,178.2,562.4,2217
0,0,18.09,260.8,610.2,2601.5
0,0,19.83,311.1,638.9,2839.5
0,0,24.92,457.8,725.4,3541.1
0,0,30.54,620.8,823.9,4293.6
0,0,36.27,780.3,944.4,5071.7
0,0,35.45,763.8,978.8,5217
0,0,29.37,584.2,857.9,4424.8
0,0,25.17,488.3,784.1,3936.2
0,0,20.65,354.3,686.1,3299.7
0,0,15.15,208.4,571,2549.4
0,0,10.01,81,476.9,1888.7
0,0,6,-5.7,370,1322.8
0,0,4.5,-33.6,320.5,1067.8
0,0,0,29.8,49.1,422.6
0,0,0,-5.7,-5.2,244.5
0,0,4.52,-173.8,380.1,834.6
0,0,9.07,-51.4,483.5,1497.2
0,0,14.77,95,584.1,2196.5
0,0,19.57,244.8,665.1,2881
0,0,24.32,391.3,754,3547.4
0,0,30,551.2,848.3,4292.8
0,0,34.62,687.8,943.4,4957.8
0,0,35.72,721.5,996,5262.7
0,0,29.59,567.7,879.8,4580.7
0,0,25,439.3,795.6,3976.6
0,0,21.23,338.7,719.7,3496
0,0,15.17,174.4,597.2,2654.7
0,0,10.66,55.4,490.9,2033.2
0,0,4.92,-55.8,332.4,1217.6
0,0,0,16.6,34.3,541.3
0,0,0,4.1,3.8,241.5
0,0,6.11,-158,429.1,1011.7
0,0,9.72,-28.5,500.2,1533.8
0,0,14.48,101.3,576.9,2143.4
0,0,19.64,258.6,671,2858.6
0,0,24.88,411.5,761.2,3574.7
0,0,29.94,570.6,862.8,4302.1
0,0,35.38,723.3,962.8,5030.2
0,0,31.03,621.8,917.4,4744.4
0,0,24.91,449.7,791.8,3943.5
0,0,20.21,325.8,700,3297.5
0,0,15.8,206,611.3,2695.5
0,0,9.83,61.9,486.5,1927
0,0,5.58,-24.6,372.9,1338.5
0,0,0,25.8,59.6,540.1
0,0,0.03,10,-0.9,-17
0,0,0,0.6,0.1,0
0,0,5.66,-91,335.6,728.1
0,0,10.24,46.1,421.3,1377.4
0,0,15.34,191.6,514,2077.1
0,0,19.74,323.1,600.4,2692.8
0,0,26.57,507.9,726.4,3600.5
0,0,30.03,605.7,807,4132.7
0,0,35.43,744.1,937.5,4906.4
0,0,35.15,755,988.8,5233.7
0,0,29.77,609.7,885,4549.7
0,0,25.41,512.1,795.9,4010.5
0,0,19.52,340,666.3,3175.8
0,0,15.78,247.4,569.5,2579.5
0,0,10.62,111,468.7,1894.6
0,0,5.87,20,332.8,1203
0,0,0,29.2,47.5,363.9
0,0,0,16,6.7,132.9
0,0,5.5,-135.6,410.5,848.1
0,0,10.11,16,464,1469.8
0,0,15.72,178.2,562.4,2217
0,0,18.09,260.8,610.2,2601.5
0,0,19.83,311.1,638.9,2839.5
0,0,24.92,457.8,725.4,3541.1
0,0,30.54,620.8,823.9,4293.6
0,0,36.27,780.3,944.4,5071.7
0,0,35.45,763.8,978.8,5217
0,0,29.37,584.2,857.9,4424.8
0,0,25.17,488.3,784.1,3936.2
0,0,20.65,354.3,686.1,3299.7
0,0,15.15,208.4,571,2549.4
0,0,10.01,81,476.9,1888.7
0,0,6,-5.7,370,1322.8
0,0,4.5,-33.6,320.5,1067.8
0,0,0,29.8,49.1,422.6
0,0,0,-5.7,-5.2,244.5
0,0,4.52,-173.8,380.1,834.6
0,0,9.07,-51.4,483.5,1497.2
0,0,14.77,95,584.1,2196.5
0,0,19.57,244.8,665.1,2881
0,0,24.32,391.3,754,3547.4
0,0,30,551.2,848.3,4292.8
0,0,34.62,687.8,943.4,4957.8
0,0,35.72,721.5,996,5262.7
0,0,29.59,567.7,879.8,4580.7
0,0,25,439.3,795.6,3976.6
0,0,21.23,338.7,719.7,3496
0,0,15.17,174.4,597.2,2654.7
0,0,10.66,55.4,490.9,2033.2
0,0,4.92,-55.8,332.4,1217.6
0,0,0,16.6,34.3,541.3
0,0,0,4.1,3.8,241.5
0,0,6.11,-158,429.1,1011.7
0,0,9.72,-28.5,500.2,1533.8
0,0,14.48,101.3,576.9,2143.4
0,0,19.64,258.6,671,2858.6
0,0,24.88,411.5,761.2,3574.7
0,0,29.94,570.6,862.8,4302.1
0,0,35.38,723.3,962.8,5030.2
0,0,31.03,621.8,917.4,4744.4
0,0,24.91,449.7,791.8,3943.5
0,0,20.21,325.8,700,3297.5
0,0,15.8,206,611.3,2695.5
0,0,9.83,61.9,486.5,1927
0,0,5.58,-24.6,372.9,1338.5
0,0,0,25.8,59.6,540.1
